Species,Order,Mass_g,Mass_SD,N_neurons,N_neurons_SD,N_other,N_other_SD,Neurons_per_mg,Neurons_per_mg_SD,Other_per_mg,Other_per_mg_SD,Other_per_neuron,Other_per_neuron_SD,Source,Brain_area
Loxodontaafricana,Afrotheria,564.674,NA,741704844,NA,27404306156,NA,1314,NA,48531,NA,36.948,NA,"Herculano-Houzeletal.,2014",rest_of_brain
Loxodontaafricana,Afrotheria,1171.628,NA,250708527536,NA,38507229964,NA,213983,NA,32866,NA,0.154,NA,"Herculano-Houzeletal.,2014",cerebellum
Loxodontaafricana,Afrotheria,2847594,NA,5593241033,NA,55698998687,NA,1964,NA,52721,NA,26.844,NA,"Herculano-Houzeletal.,2014",cerebral_ctx
Macacafascicularis,Primata,4.294,NA,65449620,NA,260170380,NA,15242,NA,60589,NA,3.975,NA,"Gabietal.,2010",rest_of_brain
Macacafascicularis,Primata,5.642,NA,25726e5,NA,1354e5,NA,455973,NA,23999,NA,0.053,NA,"Gabietal.,2010",cerebellum
Macacafascicularis,Primata,36.226,NA,800955e3,NA,2758845e3,NA,22110,NA,76156,NA,3.444,NA,"Gabietal.,2010",cerebral_ctx
Macacamulatta,Primata,7.694,NA,455e7,NA,93103e4,NA,590800,NA,121010,NA,0.205,NA,"Herculano-Houzeletal.,2007",cerebellum
Macacamulatta,Primata,9.204,0.871,1219e5,NA,96652e4,NA,12410,NA,98420,NA,7.929,NA,"Herculano-Houzeletal.,2007",rest_of_brain
Macacamulatta,Primata,69.832,NA,171e7,NA,527e7,NA,24470,NA,75400,NA,3.082,NA,"Herculano-Houzeletal.,2007",cerebral_ctx
Macacaradiata,Primata,5.748,NA,2038554160,NA,453565840,NA,354655,NA,78908,NA,0.222,NA,"Gabietal.,2010",cerebellum
Macacaradiata,Primata,7.448,NA,61359e3,NA,616641e3,NA,8238,NA,82793,NA,10.05,NA,"Gabietal.,2010",rest_of_brain
Macacaradiata,Primata,48.274,NA,1655707140,NA,3808672860,NA,34298,NA,78897,NA,2.3,NA,"Gabietal.,2010",cerebral_ctx
Mesocricetusauratus,Glires,0.145,0.03,6121e4,"12,351,246",743e4,"1,713,108",424002,"3,743",51332,"1,054",0.121,NA,"Herculano-Houzeletal.,2006",cerebellum
Mesocricetusauratus,Glires,0.375,0.057,587e4,"1,162,059",2133e4,"8,878,857",15611,715,55804,"15,174",3.556,NA,"Herculano-Houzeletal.,2006",rest_of_brain
Mesocricetusauratus,Glires,0.446,0.048,1714e4,"3,619,934",4187e4,"1,350,121",39099,"12,332",94271,"7,136",2.507,0.608,"Herculano-Houzeletal.,2006",cerebral_ctx
Microcebusmurinus,Primata,0.391,NA,221386140,NA,17433860,NA,566205,NA,44588,NA,0.079,NA,"Gabietal.,2010",cerebellum
Microcebusmurinus,Primata,0.5,NA,11014640,NA,50865360,NA,22029,NA,101731,NA,4.618,NA,"Gabietal.,2010",rest_of_brain
Microcebusmurinus,Primata,0.908,NA,22310400,NA,70649600,NA,24571,NA,77808,NA,3.167,NA,"Gabietal.,2010",cerebral_ctx
Musmusculus,Glires,0.056,0.005,42219708,"9,277,647",6947791,"1,502,773",746691,"128,541",123493,"25,715",0.165,0.017,"Herculano-Houzeletal.,2006",cerebellum
Musmusculus,Glires,0.172,0.019,1196e4,"1,577,022",1485e4,"3,590,591",64301,"6,623",79839,"11,249",1.242,NA,"Herculano-Houzeletal.,2006",rest_of_brain
Musmusculus,Glires,0.173,0.015,13688162,"2,242,257",12061838,"3,668,594",78672,"7,683",68643,"15,807",0.87,0.177,"Herculano-Houzeletal.,2006",cerebral_ctx
Oryctolaguscuniculus,Glires,1.412,NA,396671250,NA,124578750,NA,280929,NA,88229,NA,1.222,NA,"Herculano-Houzeletal.,2011",cerebellum
Oryctolaguscuniculus,Glires,3.272,NA,26085e3,NA,251415e3,NA,7972,NA,76838,NA,NA,NA,"Herculano-Houzeletal.,2011",rest_of_brain
Oryctolaguscuniculus,Glires,4.448,NA,71448750,NA,254801250,NA,16063,NA,57284,NA,3.566,NA,"Herculano-Houzeletal.,2011",cerebral_ctx
Otolemurgarnetti,Primata,1.196,0.105,7435e5,"52,450,000",6596e4,"20,290,000",623080,"45,720",54460,"11,890",0.089,NA,"Herculano-Houzeletal.,2007",cerebellum
Otolemurgarnetti,Primata,2.131,0.021,208e5,"12,280,000",14744e4,"64,500,000",9730,"5,920",69040,NA,7.088,NA,"Herculano-Houzeletal.,2007",rest_of_brain
Otolemurgarnetti,Primata,6.29,0.863,22609e4,"87,570,000",40207e4,"74,790,000",37820,"20,500",63610,"3,400",1.778,NA,"Herculano-Houzeletal.,2007",cerebral_ctx
Papioanubiscynocephalus,Primata,13.745,NA,7794907300,NA,525977700,NA,567109,NA,38267,NA,0.067,NA,"Gabietal.,2010",cerebellum
Papioanubiscynocephalus,Primata,17.235,NA,278150760,NA,1079809236,NA,16136,NA,62656,NA,3.882,NA,"Gabietal.,2010",rest_of_brain
Papioanubiscynocephalus,Primata,120.214,NA,2875028372,NA,7569751628,NA,23916,NA,62969,NA,2.633,NA,"Gabietal.,2010",cerebral_ctx
Parascalopsbreweri,Eulipotyphla,0.102,0.005,10078e4,"13,850,000",701e4,"1,100,000",997370,"173,030",68795,"7,910",0.07,NA,"Sarkoetal.,2009",cerebellum
Parascalopsbreweri,Eulipotyphla,0.228,0.009,713e4,"920,000",3138e4,"1,500,000",31276,"3,180",137960,"7,180",4.401,0.375,"Sarkoetal.,2009",rest_of_brain
Parascalopsbreweri,Eulipotyphla,0.429,0.019,1569e4,"2,611,000",3987e4,"4,884,000",36727,"7,359",93185,"14,583",2.581,0.109,"Sarkoetal.,2009",cerebral_ctx
Petrodromustetradactylus,Afrotheria,0.304,NA,110653150,"14,948,000",34657851,"15,801,000",362537,"15,780",110153,"41,831",0.299,0.102,"Nevesetal.,2014",cerebellum
Petrodromustetradactylus,Afrotheria,0.894,0.022,12231811,"188,000",28204189,"5,408,000",13696,547,31716,"6,830",2.3,0.407,"Nevesetal.,2014",rest_of_brain
Petrodromustetradactylus,Afrotheria,1.239,0.059,33947e3,"5,840,000",40486e3,"1,104,000",27236,"3,416",32550,"2,661",1.202,0.053,"Nevesetal.,2014",cerebral_ctx
Pongopygmaeus,Primata,35.06,4.34,263e8,"2,470,000,000",22e8,NA,750143,NA,62750,NA,0.084,NA,"Herculano-HouzelandKaas,2011",cerebellum
Procaviacapensis,Afrotheria,2.058,NA,488373e3,"42,322,000",91005e3,"30,180,000",242415,"46,950",46365,"19,711",0.182,0.046,"Nevesetal.,2014",cerebellum
Procaviacapensis,Afrotheria,4.317,0.625,69358240,"762,000",162984760,"6,105,000",16436,"2,556",38353,"4,138",2.351,0.114,"Nevesetal.,2014",rest_of_brain
Procaviacapensis,Afrotheria,10.478,0.646,197933e3,"29,082,000",36662e4,"13,520,000",19134,"3,955",35203,"3,461",1.883,0.208,"Nevesetal.,2014",cerebral_ctx
Proechimyscayennensis,Glires,0.33,0.026,162512050,"3,553,848",36372950,"5,094,068",494338,"28,466",110122,"6,716",0.224,0.026,"Herculano-Houzeletal.,2011",cerebellum
Proechimyscayennensis,Glires,0.824,0.006,13492039,"1,533,120",73068898,"2,691,449",16381,"1,973",88667,"2,658",5.462,NA,"Herculano-Houzeletal.,2011",rest_of_brain
Proechimyscayennensis,Glires,0.924,0.05,26086024,"2,155,723",71833039,"6,712,722",28321,"3,870",78011,"11,497",2.752,0.03,"Herculano-Houzeletal.,2011",cerebral_ctx
Rattusnorvegicus,Glires,0.272,0.038,139171882,"11,185,675",29005617,"6,282,204",522688,"108,847",108555,"29,355",0.209,0.047,"Herculano-Houzeletal.,2006",cerebellum
Rattusnorvegicus,Glires,0.683,0.153,18678758,"4,243,909",47221243,"5,979,982",27813,"6,171",71760,"18,475",2.587,NA,"Herculano-Houzeletal.,2006",rest_of_brain
Rattusnorvegicus,Glires,0.769,0.113,31017192,3034654,45687808,"5,678,958",41092,"7,999",60426,"12,477",1.497,0.328,"Herculano-Houzeletal.,2006",cerebral_ctx
Saimirisciureus,Primata,4.3,NA,182e7,NA,13302e4,NA,424000,NA,30940,NA,0.073,NA,"Herculano-Houzeletal.,2007",cerebellum
Saimirisciureus,Primata,5.004,NA,6553e4,NA,30259e4,NA,13090,NA,60470,NA,4.618,NA,"Herculano-Houzeletal.,2007",rest_of_brain
Saimirisciureus,Primata,20.652,0.368,134e7,"20,000,000",161e7,"40,000,000",64930,"7,420",77840,790,1.201,NA,"Herculano-Houzeletal.,2007",cerebral_ctx
Scalopusaquaticus,Eulipotyphla,0.153,0.008,15855e4,"13,630,000",1751e4,"3,160,000",1037390,"63,570",114660,"20,790",0.11,NA,"Sarkoetal.,2009",cerebellum
Scalopusaquaticus,Eulipotyphla,0.37,0.042,1656e4,"2,990,000",4569e4,"4,820,000",44620,"4,900",123600,"2,550",2.759,0.379,"Sarkoetal.,2009",rest_of_brain
Scalopusaquaticus,Eulipotyphla,0.476,0.032,2668e4,"5,113,000",3854e4,"5,567,000",60461,"12,249",80745,"6,407",1.383,0.368,"Sarkoetal.,2009",cerebral_ctx
Sciuruscarolinensis,Glires,0.874,0.069,342832180,"71,181,798",110797820,"9,070,639",392363,"74,294",127682,"19,212",0.336,0.09,"Herculano-Houzeletal.,2011",cerebellum
Sciuruscarolinensis,Glires,1.943,0.156,33493401,"17,128,790",210023933,"3,415,060",17616,"9,989",108482,"7,808",7.246,NA,"Herculano-Houzeletal.,2011",rest_of_brain
Sciuruscarolinensis,Glires,2.73,0.178,77334617,"2,634,444",209654717,"13,003,170",28384,"1,487",76877,"3,859",2.709,0.076,"Herculano-Houzeletal.,2011",cerebral_ctx
Susscrofadomesticus,Artiodactyla,8.128,NA,1858320313,NA,348710938,NA,228632,NA,42902,NA,0.188,NA,"Kazuetal.,2014",cerebellum
Susscrofadomesticus,Artiodactyla,13.85,NA,58709836,NA,1096821414,NA,4238,NA,79192,NA,18.682,NA,"Kazuetal.,2014",rest_of_brain
Susscrofadomesticus,Artiodactyla,42.202,NA,307082404,NA,3250251354,NA,7276,NA,77016,NA,10.585,NA,"Kazuetal.,2014",cerebral_ctx
Tragelaphusstripceros,Artiodactyla,31.776,NA,4042494141,NA,1266099609,NA,127218,NA,39845,NA,0.313,NA,"Kazuetal.,2014",cerebellum
Tragelaphusstripceros,Artiodactyla,61.716,NA,106590230,NA,3408779523,NA,1727,NA,55233,NA,31.98,NA,"Kazuetal.,2014",rest_of_brain
Tragelaphusstripceros,Artiodactyla,213.37,NA,762567178,NA,12302304448,NA,3574,NA,57657,NA,16.133,NA,"Kazuetal.,2014",cerebral_ctx
Tupaiaglis,Scandentia,0.326,0.018,18528e4,"16,980,000",1998e4,"1,510,000",571460,"83,200",61600,"7,990",0.108,NA,"Herculano-Houzeletal.,2007",cerebellum
Tupaiaglis,Scandentia,0.919,0.072,2248e4,NA,8708e4,NA,25900,NA,100320,NA,3.874,NA,"Herculano-Houzeletal.,2007",rest_of_brain
Tupaiaglis,Scandentia,1.455,0.174,6039e4,"26,510,000",8558e4,"8,400,000",42900,"23,350",58900,"1,270",1.417,NA,"Herculano-Houzeletal.,2007",cerebral_ctx
Callimicogoeldii,Primata,2.086,NA,53911480,NA,194528520,NA,25844,NA,93254,NA,3.608,NA,"Gabietal.,2010",rest_of_brain
Callimicogoeldii,Primata,12.984,NA,357129180,NA,715330820,NA,27505,NA,55093,NA,2.003,NA,"Gabietal.,2010",cerebral_ctx
"Antidorcasmarsupialis,n=1",Artiodactyla,1.2,NA,15998400,NA,105201600,NA,13332,NA,87668,NA,6.576,NA,"Kazuetal.,2014",olf_bulb
"Aotustrivirgatus,n=6",Primata,0.05,0.012,7925468,"3,114,924",8360532,"3,213,106",155879,"62,241",162922,"44,209",1.055,NA,"Ribeiroetal.,2014",olf_bulb
"Blarinabrevicauda,n=5",Eulipotyphla,0.026,0.003,809e4,"935,900",491e4,"730,000",318164,"34,950",193631,"31,450",0.607,0.125,"Sarkoetal.,2009",olf_bulb
"Caviaporcellus,n=2",Glires,0.103,0.013,6065700,"1,295,335",10154300,"4,220,098",58560,"5,340",96793,"29,011",1.637,0.346,"Herculano-Houzeletal.,2006",olf_bulb
"Condyluracristata,n=4",Eulipotyphla,0.04,0.005,1055e4,"4,290,000",747e4,"970,000",254720,"74,620",185124,"19,370",0.708,0.328,"Sarkoetal.,2009",olf_bulb
"Dasyproctaprimnolopha,n=3",Glires,0.737,0.162,58124085,"4,952,795",72595915,"19,682,805",88008,"14,973",107301,"1,958",1.239,0.233,"Herculano-Houzeletal.,2006",olf_bulb
"Elephantulusmyurus,n=2",Afrotheria,0.05,0.01,9693534,"1,745,000",4919466,NA,194678,"5,708",97872,NA,0.507,NA,"Nevesetal.,2014",olf_bulb
"Giraffacamelopardalensis,n=1",Artiodactyla,2.052,NA,24678e3,NA,232384500,NA,12026,NA,113248,NA,9.417,NA,"Kazuetal.,2014",olf_bulb
"Heterocephalusglaber,n=3",Glires,0.021,0.001,2303030,"636,099",3571970,"1,548,861",108895,"22,957",167991,"62,442",1.516,0.254,"Herculano-Houzeletal.,2011",olf_bulb
"Hydrochoerushydrochaeris,n=2",Glires,1.302,0.031,28560310,"8,515,588",67389690,"21,015,416",21864,"6,018",51544,"17,981",2.333,0.18,"Herculano-Houzeletal.,2006",olf_bulb
"Loxodontaafricana,n=1",Afrotheria,41.886,NA,908371986,NA,2857878014,NA,21687,NA,68230,NA,3.146,NA,"Herculano-Houzeletal.,2014",olf_bulb
"Macacamulatta,n=1",Primata,0.088,NA,8473800,NA,11006200,NA,96293,NA,125070,NA,1.299,NA,"Ribeiroetal.,2014",olf_bulb
"Mesocricetusauratus,n=2",Glires,0.055,0.011,5747930,"347,203",5507170,"2,277,605",105418,"27,498",96197,"21,237",0.972,0.455,"Herculano-Houzeletal.,2006",olf_bulb
"Microcebusmurinus,n=2",Primata,0.03,0.008,7636912,"119,088",9723088,"842,576",270894,"61,946",341900,"54,311",1.273,NA,"Ribeiroetal.,2014",olf_bulb
"Musmusculus,n=4",Glires,0.014,0.004,3893300,"1,246,396",5456700,"1,154,502",257475,"34,036",371204,"75,573",1.454,0.26,"Herculano-Houzeletal.,2006",olf_bulb
"Oryctolaguscuniculus,n=1",Glires,0.156,NA,18765e3,NA,22935e3,NA,120288,NA,147019,NA,1.222,NA,"Herculano-Houzeletal.,2011",olf_bulb
"Otolemurgarnetti,n=11",Primata,0.2,0.016,30237060,"9,645,480",34244e3,"7,155,556",149219,"47,590",170505,"39,463",1.133,NA,"Ribeiroetal.,2014",olf_bulb
"Parascalopsbreweri,n=3",Eulipotyphla,0.049,0.008,1675e4,"6,370,000",1091e4,"3,400,000",333590,"81,590",217440,"41,370",0.651,0.168,"Sarkoetal.,2009",olf_bulb
"Petrodromustetradactylus,n=2",Afrotheria,0.159,0.009,12828365,"380,000",14775635,NA,80805,"3,084",91369,NA,1.141,NA,"Nevesetal.,2014",olf_bulb
"Procaviacapensis,n=1",Afrotheria,0.286,NA,20909490,NA,14790510,NA,73110,NA,51715,NA,0.707,NA,"Nevesetal.,2014",olf_bulb
"Proechimyscayennensis,n=1",Glires,0.132,NA,9141540,NA,21128460,NA,69254,NA,160064,NA,2.311,NA,"Herculano-Houzeletal.,2011",olf_bulb
"Rattusnorvegicus,n=5",Glires,0.074,0.022,11103272,"3,202,766",9238728,"2,250,728",152373,"26,913",126210,"8,033",0.848,0.145,"Herculano-Houzeletal.,2006",olf_bulb
"Scalopusaquaticus,n=3",Eulipotyphla,0.082,0.005,3461e4,"5,960,000",1778e4,"2,060,000",423520,"94,950",215230,"14,600",0.514,0.154,"Sarkoetal.,2009",olf_bulb
"Sciuruscarolinensis,n=9",Glires,0.212,0.022,28845724,"7,903,412",39015942,"12,812,316",137532,"38,236",185359,"58,050",1.478,0.776,"Herculano-Houzeletal.,2011",olf_bulb
"Sorexfumeus,n=3",Eulipotyphla,0.012,0.002,333e4,"1,050,000",276e4,"130,000",289806,"124,350",235249,"44,620",0.829,214,"Sarkoetal.,2009",olf_bulb
"Susscrofadomesticus,n=1",Artiodactyla,0.822,NA,9195500,NA,77554500,NA,11187,NA,94348,NA,8.434,NA,"Kazuetal.,2014",olf_bulb
"Tragelaphusstripceros,n=1",Artiodactyla,5.546,NA,38331562,NA,362731438,NA,6912,NA,58913,NA,8.523,NA,"Kazuetal.,2014",olf_bulb
"Tupaiaglis,n=16",Scandentia,0.1,0.032,127e5,"3,584,952",20068e3,"6,541,838",130173,"17,451",205876,"51,596",1.58,NA,"Herculano-Houzeletal.,2007",olf_bulb
